,Symbol,Count Year,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Year 1,Year Full
0,CMS,1.0,6.2,17.9,5.1,34.7,12.92,7.98,"251,825.75","379,603.23",188.71,188.71
1,BSI,1.0,16.87,46.5,15.37,48.25,31.77,9.94,"1,193,732.53","714,264.01",175.6,175.6
2,ELC,1.0,7.21,19.6,7.21,21.25,13.19,4.18,"390,419.68","249,415.92",171.69,171.69
3,VIX,1.0,6.3,16.95,5.71,20.6,12.28,4.62,"23,432,814.06","13,865,200.71",168.88,168.88
4,ST8,1.0,8.93,23.0,8.93,29.8,19.55,3.76,"246,514.06","482,402.56",157.56,157.56
5,CTD,1.0,26.56,67.6,24.76,71.0,47.75,12.6,"967,010.44","789,780.47",154.55,154.55
6,FTS,1.0,17.58,43.95,15.62,47.3,31.71,9.46,"1,877,585.14","853,489.71",149.94,149.94
7,MHC,1.0,3.8,9.17,3.65,12.95,6.81,2.75,"418,857.83","606,020.22",141.32,141.32
8,VC7,1.0,5.57,13.3,5.57,28.71,13.76,6.13,"393,823.26","320,652.81",138.74,138.74
9,VTP,1.0,24.78,57.4,23.16,59.3,37.8,10.12,"811,184.26","451,490.90",131.61,131.61
10,VDS,1.0,7.3,16.9,7.2,19.1,13.09,3.6,"783,053.01","574,464.55",131.51,131.51
11,BMS,1.0,4.93,11.3,4.55,14.8,9.0,2.73,"206,796.23","153,213.95",129.4,129.4
12,QCG,1.0,4.2,9.51,3.8,15.15,8.38,3.3,"887,290.76","933,395.52",126.43,126.43
13,HSV,1.0,3.8,8.5,3.6,9.8,4.69,1.33,"139,311.00","390,942.08",123.68,123.68
14,YEG,1.0,4.9,10.75,4.9,12.05,7.84,1.83,"270,178.71","383,251.63",119.34,119.34
15,EVF,1.0,7.77,16.9,6.9,18.0,10.47,3.22,"2,130,390.76","3,199,825.93",117.39,117.39
16,HHS,1.0,3.34,7.25,3.34,7.95,5.4,1.33,"2,931,240.16","2,284,096.07",116.87,116.87
17,DTD,1.0,11.33,24.4,10.37,31.98,21.67,6.19,"742,561.99","443,215.28",115.4,115.4
18,AGR,1.0,7.71,16.6,7.08,19.56,13.08,3.34,"1,776,603.21","1,020,755.55",115.3,115.3
19,NAB,1.0,7.21,15.5,7.21,15.9,11.54,2.73,"362,232.94","327,666.38",114.92,114.92
20,APG,1.0,5.7,12.2,5.56,12.25,8.59,1.75,"1,379,349.00","930,575.22",114.04,114.04
21,SHS,1.0,9.1,18.4,8.0,20.5,13.99,3.81,"21,540,022.39","10,313,166.61",102.2,102.2
22,VPH,1.0,4.07,8.2,3.79,11.05,6.81,2.12,"352,738.55","316,068.56",101.47,101.47
23,PDR,1.0,13.7,27.6,10.1,28.8,19.33,5.87,"11,347,529.72","5,938,332.07",101.46,101.46
24,BMP,1.0,54.2,106.3,49.91,109.0,76.38,15.91,"261,072.29","190,094.44",96.14,96.14
25,CTS,1.0,14.5,28.4,12.2,32.8,21.83,5.64,"1,879,180.32","812,333.63",95.86,95.86
26,ORS,1.0,8.95,17.45,8.5,21.25,14.5,3.23,"2,645,186.35","1,613,851.88",94.97,94.97
27,NTL,1.0,15.38,29.2,14.83,30.0,21.79,4.05,"899,753.82","590,139.00",89.82,89.82
28,TCH,1.0,6.75,12.75,6.68,14.5,9.96,2.42,"8,556,734.14","4,960,067.36",88.92,88.92
29,VGS,1.0,11.47,21.6,10.56,23.8,16.45,4.07,"900,885.77","459,926.29",88.25,88.25
30,TC6,1.0,4.7,8.8,4.7,9.8,8.36,0.97,"291,161.59","288,521.81",87.23,87.23
31,MBS,1.0,12.44,23.2,11.14,24.5,17.53,3.83,"3,708,151.06","1,757,357.33",86.44,86.44
32,LAS,1.0,7.8,14.4,7.7,15.0,11.47,2.24,"573,564.79","438,674.70",84.62,84.62
33,PSH,1.0,4.73,8.58,4.73,15.5,10.25,2.89,"1,437,269.88","1,048,819.81",81.4,81.4
34,SSI,1.0,18.66,33.85,17.56,36.45,26.64,5.59,"21,347,851.81","9,681,575.37",81.36,81.36
35,LSS,1.0,6.13,11.1,6.13,14.75,10.94,2.25,"966,677.11","793,233.28",81.08,81.08
36,FRT,1.0,55.23,97.8,52.64,107.0,76.09,17.59,"858,719.28","541,035.84",77.09,77.09
37,DIG,1.0,14.9,26.35,11.0,29.45,21.38,4.96,"20,693,700.40","9,326,924.79",76.85,76.85
38,SZC,1.0,19.98,35.1,18.13,37.03,26.99,5.67,"1,262,889.16","653,376.18",75.7,75.7
39,TVD,1.0,8.44,14.7,8.44,17.06,14.19,1.46,"299,975.49","279,489.20",74.27,74.27
40,TLD,1.0,3.01,5.23,2.93,5.91,4.2,0.9,"508,663.05","597,605.63",73.81,73.81
41,PXL,1.0,4.9,8.5,4.9,12.5,7.95,2.18,"344,042.24","348,710.77",73.47,73.47
42,CIG,1.0,3.52,6.1,3.2,7.97,5.74,1.48,"188,599.20","166,353.70",73.3,73.3
43,HAH,1.0,22.2,38.4,21.17,40.75,30.76,5.51,"2,197,659.04","1,319,638.07",72.97,72.97
44,DGC,1.0,53.56,91.6,46.91,96.12,69.81,17.68,"2,897,849.80","1,706,465.32",71.01,71.01
45,PGB,1.0,15.7,26.8,15.7,34.0,25.83,4.37,"147,510.08","721,796.79",70.7,70.7
46,BFC,1.0,15.32,26.1,14.5,26.8,18.34,3.14,"277,125.30","263,105.40",70.37,70.37
47,MST,1.0,3.7,6.3,3.52,6.7,4.89,0.9,"1,214,321.83","854,221.26",70.13,70.13
48,CTR,1.0,52.96,90.0,52.96,92.6,72.38,10.86,"258,065.06","310,689.83",69.94,69.94
49,NBB,1.0,12.9,21.85,11.95,23.5,17.12,3.69,"390,045.38","348,427.72",69.38,69.38
50,HD6,1.0,12.66,21.3,12.09,29.5,19.03,4.43,"104,686.97","98,688.40",68.3,68.3
51,EVG,1.0,3.1,5.21,3.1,8.16,5.19,1.4,"2,776,641.77","1,954,219.04",68.06,68.06
52,HSL,1.0,4.8,8.04,4.52,11.5,7.08,1.85,"252,175.50","430,921.30",67.5,67.5
53,TV2,1.0,22.14,37.0,20.19,41.59,31.24,6.64,"306,629.32","248,013.42",67.14,67.14
54,TTH,1.0,2.1,3.5,1.9,5.2,3.18,0.92,"562,099.27","533,359.50",66.67,66.67
55,DBC,1.0,15.5,25.5,13.1,27.95,20.52,4.63,"5,938,822.09","3,265,377.09",64.52,64.52
56,HSG,1.0,13.3,21.7,13.16,23.15,17.86,2.76,"14,116,931.33","6,146,698.34",63.15,63.15
57,IVS,1.0,6.2,10.1,5.0,14.0,8.9,2.67,"144,530.86","181,178.11",62.9,62.9
58,TCI,1.0,8.3,13.5,6.9,14.5,10.27,1.97,"576,308.96","563,162.33",62.65,62.65
59,HQC,1.0,2.56,4.16,2.56,5.1,4.0,0.58,"11,403,307.63","8,397,378.80",62.5,62.5
60,PVB,1.0,12.4,20.1,11.9,24.2,18.66,3.82,"339,604.27","236,335.09",62.1,62.1
61,VIG,1.0,4.7,7.6,4.7,10.8,7.33,1.33,"628,851.71","493,498.68",61.7,61.7
62,AMS,1.0,6.2,10.0,6.2,12.5,10.19,1.17,"233,815.64","251,737.89",61.29,61.29
63,HBS,1.0,4.9,7.9,4.9,11.4,7.69,1.86,"104,967.65","120,941.07",61.22,61.22
64,CEN,1.0,3.6,5.8,3.4,10.4,5.46,1.46,"700,338.61","708,837.69",61.11,61.11
65,NKG,1.0,14.5,23.35,13.15,24.65,18.29,3.1,"10,145,026.51","4,686,329.86",61.03,61.03
66,PVS,1.0,22.87,36.8,22.87,40.2,31.81,5.35,"6,038,346.82","3,015,930.75",60.92,60.92
67,TIG,1.0,7.34,11.8,7.07,13.1,9.68,1.59,"1,358,673.63","1,031,170.18",60.65,60.65
68,TDH,1.0,2.8,4.49,2.8,6.63,4.43,1.02,"535,550.20","700,593.82",60.36,60.36
69,DXP,1.0,7.74,12.4,7.74,14.8,10.76,1.81,"188,507.93","196,349.01",60.23,60.23
70,CCL,1.0,4.51,7.18,4.51,8.11,6.2,0.98,"231,806.43","200,920.18",59.24,59.24
71,PSI,1.0,5.7,9.0,5.2,12.2,8.04,1.61,"176,640.73","198,451.44",57.89,57.89
72,DC4,1.0,7.29,11.5,6.42,14.15,9.15,2.0,"147,697.59","214,421.35",57.75,57.75
73,HCM,1.0,15.65,24.55,15.48,24.91,19.56,2.46,"6,109,440.96","2,757,596.00",56.82,56.82
74,GEX,1.0,13.6,21.3,11.5,25.9,18.46,4.3,"16,907,167.07","9,271,525.05",56.62,56.62
75,NBC,1.0,8.02,12.5,8.02,13.6,11.61,0.88,"245,988.56","184,596.28",55.96,55.96
76,ITA,1.0,4.03,6.27,3.84,7.45,5.27,0.95,"4,606,115.66","3,777,747.43",55.58,55.58
77,DXG,1.0,12.17,18.8,9.29,21.87,15.5,3.3,"18,459,698.80","7,743,549.62",54.5,54.5
78,GMD,1.0,45.58,70.3,45.58,73.0,57.01,8.18,"1,025,445.38","721,875.59",54.25,54.25
79,HAG,1.0,8.95,13.8,7.26,14.1,8.9,1.71,"15,024,160.24","9,280,337.52",54.19,54.19
80,PET,1.0,17.05,26.15,17.05,31.3,24.38,3.29,"716,195.98","466,146.49",53.42,53.42
81,IDC,1.0,33.38,51.0,32.94,52.07,41.58,5.46,"3,043,706.78","1,523,139.88",52.77,52.77
82,VCI,1.0,27.73,42.0,24.62,50.5,36.98,6.32,"5,623,452.61","2,323,342.36",51.49,51.49
83,CEO,1.0,14.55,22.0,14.47,28.4,19.9,3.23,"10,416,979.06","5,692,425.40",51.2,51.2
84,TNG,1.0,13.06,19.7,13.06,22.17,18.23,1.95,"2,137,975.39","1,037,455.94",50.85,50.85
85,HHV,1.0,10.24,15.4,10.24,16.86,13.51,1.73,"7,855,109.64","3,827,780.32",50.39,50.39
86,ILA,1.0,2.6,3.9,2.6,5.3,3.68,0.6,"103,414.04","101,598.42",50.0,50.0
87,HDB,1.0,13.94,20.9,13.94,20.9,16.77,1.46,"4,493,869.48","3,012,582.33",49.91,49.91
88,DXS,1.0,4.92,7.38,4.59,9.51,6.69,1.35,"2,657,738.96","1,805,989.05",49.85,49.85
89,GKM,1.0,22.66,33.9,22.66,44.23,32.74,4.04,"248,640.88","243,614.38",49.62,49.62
90,VGC,1.0,34.73,51.6,29.47,57.4,42.88,7.89,"1,125,365.86","735,420.60",48.6,48.6
91,NHA,1.0,11.2,16.6,10.45,24.0,16.92,3.92,"340,723.69","239,538.21",48.21,48.21
92,CSV,1.0,28.86,42.75,24.97,46.4,34.09,5.98,"455,424.10","309,266.26",48.11,48.11
93,VIP,1.0,7.7,11.4,7.7,12.6,10.83,0.97,"580,200.40","492,084.23",48.03,48.03
94,ADS,1.0,8.68,12.8,8.52,17.5,13.1,2.19,"546,955.42","320,344.32",47.48,47.48
95,HCD,1.0,5.02,7.39,5.02,8.48,6.78,1.01,"431,341.37","317,606.92",47.18,47.18
96,NAF,1.0,10.4,15.25,10.0,17.55,13.64,2.15,"155,586.35","140,106.46",46.63,46.63
97,LPB,1.0,11.38,16.6,10.18,16.6,13.16,1.99,"6,875,860.24","4,546,024.21",45.87,45.87
98,CNG,1.0,19.06,27.8,18.95,34.8,25.68,4.15,"127,085.14","113,220.81",45.85,45.85
99,VPG,1.0,11.97,17.45,10.78,22.9,16.09,3.37,"1,841,099.60","1,014,621.54",45.83,45.83
100,VND,1.0,15.0,21.8,13.4,25.25,18.65,3.05,"26,580,751.41","12,814,859.62",45.33,45.33
101,SJS,1.0,46.9,68.0,40.8,73.0,52.78,10.27,"128,086.35","118,715.06",44.99,44.99
102,ITC,1.0,7.45,10.7,7.45,14.55,10.53,2.03,"629,849.80","511,818.85",43.62,43.62
103,DGW,1.0,38.16,54.8,28.23,61.57,45.23,9.19,"1,785,217.67","909,486.79",43.61,43.61
104,NLG,1.0,25.44,36.4,22.66,40.0,33.12,4.41,"2,377,487.55","1,376,754.00",43.08,43.08
105,KHG,1.0,4.28,6.1,4.28,8.16,6.0,0.91,"5,956,019.68","2,951,587.26",42.52,42.52
106,NHH,1.0,13.34,19.0,13.1,22.5,16.07,2.44,"496,302.41","491,836.05",42.44,42.44
107,NDN,1.0,6.9,9.8,6.8,12.7,9.46,1.55,"294,103.41","274,732.62",42.03,42.03
108,TIP,1.0,15.97,22.6,15.27,26.65,20.62,2.96,"194,057.43","167,448.53",41.5,41.5
109,TVB,1.0,3.8,5.37,3.7,6.67,5.05,0.8,"458,510.84","427,948.34",41.32,41.32
110,TCD,1.0,5.42,7.6,4.98,10.75,7.58,1.48,"2,060,736.95","2,071,357.27",40.27,40.27
111,DL1,1.0,3.0,4.2,3.0,6.0,4.39,0.79,"735,288.15","651,158.27",40.0,40.0
112,SBS,1.0,5.3,7.4,4.8,10.0,7.13,1.27,"2,911,278.62","1,929,195.82",39.62,39.62
113,QNS,1.0,31.68,44.0,31.68,51.68,43.29,4.95,"695,375.84","576,571.47",38.88,38.88
114,VLB,1.0,25.99,36.0,25.7,42.73,33.64,4.51,"193,667.85","157,037.63",38.53,38.53
115,FPT,1.0,68.65,94.7,65.85,99.0,80.63,11.72,"1,527,179.92","1,127,129.43",37.95,37.95
116,AAS,1.0,6.12,8.4,5.33,11.43,8.03,1.56,"1,231,443.87","1,330,501.65",37.17,37.17
117,LHG,1.0,21.73,29.75,19.49,34.3,26.58,3.77,"171,115.66","148,241.31",36.89,36.89
118,PTB,1.0,41.65,57.0,36.85,60.8,49.03,7.2,"370,603.61","388,669.60",36.84,36.84
119,GVR,1.0,14.93,20.4,13.7,22.79,18.32,2.65,"2,751,721.69","1,377,119.92",36.62,36.62
120,GSP,1.0,8.71,11.9,8.71,14.3,10.86,1.11,"235,120.08","229,443.19",36.59,36.59
121,HUT,1.0,14.8,20.2,13.4,28.5,19.42,3.51,"4,021,932.94","2,823,087.56",36.49,36.49
122,LCG,1.0,8.69,11.85,8.69,14.9,12.32,1.27,"8,102,749.40","4,095,675.01",36.44,36.44
123,GIL,1.0,18.7,25.45,18.15,36.0,25.78,4.51,"832,127.31","516,682.20",36.1,36.1
124,MBB,1.0,15.69,21.35,14.55,21.35,17.28,1.52,"9,714,506.43","5,961,673.11",36.06,36.06
125,TNT,1.0,3.34,4.54,3.34,6.71,4.67,0.77,"504,800.00","513,085.41",35.93,35.93
126,RDP,1.0,6.44,8.75,5.81,12.05,8.06,1.57,"429,418.07","842,836.82",35.87,35.87
127,BVS,1.0,18.86,25.6,15.78,29.55,22.73,3.55,"352,993.76","285,193.51",35.72,35.72
128,SHB,1.0,9.07,12.3,8.29,13.45,10.58,1.29,"20,483,997.19","12,049,576.81",35.66,35.66
129,DCM,1.0,23.35,31.5,21.07,37.1,27.21,4.74,"3,675,710.44","1,846,761.11",34.92,34.92
130,SCI,1.0,8.9,12.0,8.4,19.0,12.52,2.87,"115,247.39","130,822.66",34.83,34.83
131,DRC,1.0,19.87,26.75,18.66,27.65,21.81,1.86,"388,516.47","316,218.63",34.65,34.65
132,PVD,1.0,20.0,26.9,19.3,29.1,24.36,2.72,"4,831,875.10","2,411,873.55",34.5,34.5
133,HPG,1.0,20.25,27.15,19.75,29.0,24.48,2.92,"23,576,829.32","10,281,561.71",34.07,34.07
134,CII,1.0,13.6,18.1,12.33,23.48,16.89,2.66,"8,517,901.20","5,013,481.19",33.08,33.08
135,PVT,1.0,19.62,26.1,18.29,30.1,23.02,2.82,"3,613,874.70","1,907,357.77",33.01,33.01
136,AAA,1.0,7.16,9.5,7.16,12.45,9.89,1.19,"4,835,281.53","3,622,311.26",32.68,32.68
137,HII,1.0,4.02,5.27,4.02,6.08,5.04,0.56,"164,656.63","159,938.17",31.09,31.09
138,DPG,1.0,29.33,38.4,25.54,46.3,35.03,5.23,"938,249.00","474,685.70",30.94,30.94
139,TPB,1.0,14.24,18.55,14.24,19.75,17.23,1.24,"6,144,351.81","4,452,854.42",30.24,30.24
140,PV2,1.0,2.0,2.6,1.9,4.3,2.71,0.61,"191,621.49","205,062.18",30.0,30.0
141,PXI,1.0,2.0,2.6,1.7,4.6,2.96,0.86,"225,351.53","289,528.64",30.0,30.0
142,BSR,1.0,14.16,18.4,14.16,22.4,17.7,2.01,"8,220,853.71","4,115,923.22",29.98,29.98
143,VTO,1.0,7.35,9.52,7.03,9.95,8.9,0.69,"499,640.96","453,493.84",29.58,29.58
144,VCG,1.0,18.27,23.65,17.0,29.4,21.88,3.35,"9,786,147.79","5,502,906.18",29.43,29.43
145,LTG,1.0,19.99,25.8,19.99,32.94,25.31,3.46,"347,405.19","270,590.16",29.08,29.08
146,PVG,1.0,6.99,9.0,6.99,10.9,8.93,1.05,"139,980.45","155,737.19",28.83,28.83
147,HDC,1.0,23.84,30.7,21.92,39.4,30.26,4.28,"2,439,297.59","2,235,097.22",28.78,28.78
148,IJC,1.0,10.92,14.05,9.84,17.05,13.54,1.62,"2,608,814.46","1,539,192.29",28.69,28.69
149,OCB,1.0,11.6,14.9,10.23,14.9,12.4,1.17,"1,620,224.50","1,593,122.50",28.44,28.44
150,PVC,1.0,11.23,14.4,10.25,16.1,13.31,1.45,"1,726,862.82","853,930.13",28.18,28.18
151,KHP,1.0,7.18,9.18,7.18,10.65,9.12,0.9,"111,306.43","135,105.78",27.87,27.87
152,TLH,1.0,6.3,8.04,5.84,10.1,7.58,0.95,"1,036,853.01","821,969.36",27.6,27.6
153,PAN,1.0,16.2,20.65,15.3,23.6,19.15,2.08,"1,583,278.71","798,980.33",27.47,27.47
154,FUESSVFL,1.0,15.48,19.72,14.56,20.0,17.37,1.46,"296,637.75","480,365.22",27.39,27.39
155,FCN,1.0,11.1,14.1,10.3,19.4,14.08,2.21,"3,130,271.49","2,009,900.41",27.03,27.03
156,SCR,1.0,5.53,6.99,5.5,9.53,7.43,0.88,"5,232,797.59","3,449,949.92",26.4,26.4
157,C69,1.0,5.4,6.8,5.21,12.1,7.4,1.95,"342,431.84","374,319.13",25.86,25.86
158,PC1,1.0,21.3,26.8,20.26,29.31,24.89,1.87,"2,434,048.19","1,425,885.41",25.79,25.79
159,BVB,1.0,8.97,11.2,8.88,11.8,10.48,0.6,"373,858.71","336,185.92",24.89,24.89
160,KDH,1.0,23.95,29.9,22.14,34.09,28.52,2.93,"1,710,612.45","817,338.49",24.82,24.82
161,MIG,1.0,14.5,18.1,12.84,19.52,16.73,1.55,"347,544.98","333,701.42",24.8,24.8
162,BCG,1.0,6.95,8.67,6.05,12.15,8.84,1.58,"8,913,958.63","6,684,806.23",24.75,24.75
163,VC2,1.0,8.1,10.1,7.5,17.3,11.04,2.62,"428,449.91","386,847.28",24.69,24.69
164,KBC,1.0,24.8,30.9,21.1,36.15,28.77,3.78,"7,650,326.51","3,591,593.06",24.6,24.6
165,QTP,1.0,11.57,14.4,11.57,15.91,13.72,1.05,"483,875.82","457,297.46",24.43,24.43
166,HHP,1.0,8.18,10.15,8.1,12.9,10.32,1.09,"569,164.66","705,208.19",24.08,24.08
167,BKG,1.0,3.59,4.45,3.59,5.24,4.34,0.43,"189,878.71","264,817.65",23.96,23.96
168,PHR,1.0,38.82,48.1,37.33,53.2,44.97,4.14,"464,898.80","269,192.10",23.9,23.9
169,FCM,1.0,3.68,4.55,3.68,6.6,4.82,0.64,"182,279.12","233,755.99",23.64,23.64
170,KMR,1.0,2.84,3.51,2.69,4.54,3.48,0.41,"127,373.90","155,303.47",23.59,23.59
