,Symbol,Count Day,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Day 1,Day 2,Day 3,Day 4,Day 5,Day Full
162,DST,5.0,15.4,15.5,14.8,15.5,15.1,0.33,"1,221,533.80","478,815.09",0.0,1.65,1.55,1.16,0.13,0.13
163,KHG,5.0,18.9,19.0,18.4,19.0,18.71,0.25,"1,831,540.00","414,188.55",0.0,0.8,1.08,0.6,0.11,0.11
164,TTB,5.0,11.25,11.3,11.0,11.3,11.13,0.14,"1,465,440.00","815,451.26",0.0,0.9,0.9,0.67,0.09,0.09
165,AMD,5.0,6.77,6.8,6.77,7.08,6.9,0.13,"7,395,200.00","2,489,326.62",0.0,-1.37,-0.34,-1.0,0.09,0.09
166,DC4,5.0,25.5,25.6,24.9,26.65,25.61,0.64,"334,580.00","86,245.65",0.0,-1.99,0.26,0.7,0.08,0.08
167,PVI,5.0,49.5,49.7,49.0,50.5,49.66,0.54,"186,740.80","53,984.80",0.0,-0.8,0.07,0.36,0.08,0.08
168,CTG,5.0,32.15,32.25,32.0,32.25,32.11,0.1,"6,070,520.00","2,577,854.25",0.0,0.23,0.26,0.16,0.06,0.06
169,HLD,5.0,43.2,43.3,42.3,43.3,42.84,0.42,"108,060.00","38,885.63",0.0,0.58,0.54,0.59,0.05,0.05
170,CTI,5.0,22.65,22.7,22.15,22.7,22.46,0.26,"1,099,940.00","569,307.73",0.0,0.22,0.75,0.62,0.04,0.04
171,KSB,5.0,47.6,47.7,45.0,47.7,46.73,1.09,"2,687,980.00","1,047,919.96",0.0,0.9,0.85,1.47,0.04,0.04
172,FIR,5.0,50.7,50.8,50.5,50.8,50.72,0.13,"282,260.00","16,935.55",0.0,0.3,0.0,0.0,0.04,0.04
173,CSV,5.0,59.9,60.0,58.7,61.7,60.22,1.12,"1,377,240.00","426,386.88",0.0,-0.66,-0.93,0.55,0.03,0.03
174,QBS,5.0,7.46,7.47,7.32,7.47,7.41,0.07,"2,318,700.00","612,694.24",0.0,0.81,0.68,0.1,0.03,0.03
175,SDD,5.0,8.1,8.1,8.0,8.5,8.16,0.19,"1,226,784.20","431,343.94",0.0,-2.38,0.41,0.0,0.0,0.0
176,BHA,5.0,11.0,11.0,10.9,11.2,11.02,0.11,"129,440.00","119,524.53",0.0,0.46,0.0,-0.45,0.0,0.0
177,SDP,5.0,6.7,6.7,6.6,6.9,6.7,0.12,"336,394.20","70,384.72",0.0,-1.46,0.5,0.38,0.0,0.0
178,SGB,5.0,18.2,18.2,18.2,18.2,18.2,0.0,"113,940.00","64,817.00",0.0,0.0,0.0,0.0,0.0,0.0
179,ADS,5.0,33.9,33.9,33.3,33.9,33.68,0.3,"588,240.00","122,016.43",0.0,0.0,0.6,0.37,0.0,0.0
180,ACL,5.0,23.0,23.0,21.4,23.85,22.73,0.91,"320,160.00","91,527.20",0.0,-1.8,0.89,1.82,0.0,0.0
181,GTN,1.0,19.1,19.1,19.1,19.1,19.1,,"1,510,000.00",nan,0.0,,,,,0.0
182,DDV,5.0,32.8,32.8,32.3,33.5,32.98,0.52,"5,446,533.20","1,808,518.88",0.0,0.77,-0.7,-0.53,0.0,0.0
183,SJD,5.0,21.25,21.25,21.05,21.25,21.14,0.1,"265,960.00","112,964.01",0.0,0.47,0.32,0.18,0.0,0.0
184,HSV,5.0,12.9,12.9,12.9,13.6,13.16,0.3,"158,723.40","113,500.57",0.0,-0.77,-1.01,-1.31,0.0,0.0
185,PSI,5.0,17.3,17.3,17.3,18.5,17.76,0.51,"719,595.60","131,785.87",0.0,-3.3,-1.31,-0.57,0.0,0.0
186,MTG,5.0,11.4,11.4,10.7,12.5,11.64,0.72,"169,203.20","64,685.60",0.0,-3.33,-3.02,1.6,0.0,0.0
187,SRA,5.0,11.5,11.5,11.4,11.8,11.52,0.16,"1,362,691.80","727,348.84",0.0,-1.28,0.29,0.22,0.0,0.0
188,SHB,5.0,21.05,21.05,20.95,21.05,21.02,0.04,"9,948,640.00","3,024,983.38",0.0,0.0,0.08,0.12,0.0,0.0
189,KPF,5.0,16.95,16.95,16.9,17.1,17.0,0.09,"336,320.00","51,457.91",0.0,-0.44,0.1,-0.22,0.0,0.0
190,TCD,5.0,24.8,24.8,24.15,25.8,24.79,0.63,"2,018,540.00","819,497.17",0.0,-1.96,0.89,0.41,0.0,0.0
191,OCB,5.0,26.05,26.0,25.75,26.05,25.91,0.12,"2,041,920.00","868,666.93",0.0,0.29,0.32,0.1,-0.04,-0.04
192,DGW,5.0,119.3,119.0,118.0,120.4,119.08,0.88,"523,840.00","135,604.09",0.0,-0.58,0.28,0.06,-0.05,-0.05
193,DDG,5.0,36.1,36.0,35.8,36.1,35.98,0.13,"261,363.40","193,904.01",0.0,-0.14,0.19,0.07,-0.06,-0.06
194,HDB,5.0,27.4,27.3,26.95,27.4,27.2,0.21,"4,614,540.00","1,498,019.85",0.0,0.65,0.37,-0.05,-0.07,-0.07
195,CIG,5.0,12.7,12.65,12.45,12.8,12.62,0.14,"988,480.00","434,083.08",0.0,-0.59,0.53,0.3,-0.08,-0.08
196,UDC,5.0,12.5,12.45,12.3,12.5,12.41,0.1,"166,020.00","89,242.04",0.0,-0.2,0.4,0.3,-0.08,-0.08
197,DHM,5.0,12.75,12.7,12.7,13.1,12.83,0.17,"691,440.00","290,091.23",0.0,0.0,-0.52,-0.77,-0.08,-0.08
198,SAB,5.0,154.6,154.0,154.0,157.0,155.24,1.14,"167,740.00","72,466.88",0.0,-0.96,-0.22,-0.26,-0.08,-0.08
199,VID,5.0,11.3,11.25,11.15,11.3,11.26,0.07,"118,160.00","66,666.62",0.0,-0.22,-0.15,0.22,-0.09,-0.09
200,PPC,5.0,22.2,22.1,22.1,22.2,22.14,0.04,"171,120.00","59,814.69",0.0,-0.11,-0.08,0.0,-0.09,-0.09
201,BMI,5.0,40.1,39.9,39.85,40.65,40.16,0.33,"652,960.00","249,154.21",0.0,-0.93,-0.33,0.03,-0.1,-0.1
202,GMD,5.0,56.0,55.7,52.6,56.2,55.1,1.47,"4,517,200.00","1,267,045.45",0.0,0.63,-0.3,1.44,-0.11,-0.11
203,BCE,5.0,16.9,16.8,16.4,17.45,16.86,0.38,"789,560.00","221,067.17",0.0,-1.88,0.1,0.6,-0.12,-0.12
204,MST,5.0,16.8,16.7,16.7,16.9,16.82,0.08,"282,683.20","74,295.08",0.0,-0.59,-0.4,-0.15,-0.12,-0.12
205,FPT,5.0,93.8,93.2,93.2,95.5,94.38,0.9,"1,609,440.00","643,192.31",0.0,-0.74,-0.81,-0.42,-0.13,-0.13
206,VAB,5.0,14.4,14.3,14.3,14.4,14.34,0.05,"455,733.00","157,537.10",0.0,-0.35,0.0,0.0,-0.14,-0.14
207,TCB,5.0,49.25,48.9,48.9,49.25,49.1,0.15,"6,931,260.00","1,696,963.67",0.0,-0.36,-0.14,-0.05,-0.14,-0.14
208,HAG,5.0,12.5,12.4,11.7,12.5,12.14,0.33,"24,735,520.00","6,341,841.59",0.0,1.02,1.24,1.46,-0.16,-0.16
209,HPX,5.0,30.85,30.6,30.6,30.85,30.76,0.11,"463,500.00","156,238.76",0.0,-0.41,-0.11,-0.16,-0.16,-0.16
210,SSB,5.0,37.8,37.5,37.5,37.8,37.6,0.14,"1,875,760.00","156,808.78",0.0,0.0,0.0,-0.13,-0.16,-0.16
211,TIG,5.0,25.8,25.6,25.6,26.7,26.16,0.45,"626,957.20","198,318.77",0.0,-1.34,-1.02,-1.05,-0.16,-0.16
212,NKG,5.0,50.4,49.95,49.1,51.2,50.37,0.89,"13,312,900.00","2,349,418.88",0.0,-1.23,-0.82,0.43,-0.18,-0.18
213,MWG,5.0,134.2,133.0,133.0,134.2,133.74,0.51,"1,165,260.00","508,528.45",0.0,-0.19,-0.2,-0.22,-0.18,-0.18
214,TPB,5.0,39.0,38.65,38.65,39.0,38.85,0.15,"4,460,800.00","3,318,732.27",0.0,-0.45,-0.13,-0.1,-0.18,-0.18
215,SPI,5.0,11.1,11.0,10.9,11.1,11.0,0.07,"136,865.40","63,927.11",0.0,0.0,0.3,0.0,-0.18,-0.18
216,BID,5.0,42.25,41.85,40.5,42.25,41.43,0.7,"1,972,440.00","467,965.12",0.0,1.09,1.1,0.15,-0.19,-0.19
217,VCI,5.0,62.6,62.0,62.0,63.4,62.74,0.54,"3,526,140.00","1,077,332.49",0.0,-0.88,-0.74,-0.24,-0.19,-0.19
218,BSI,5.0,42.7,42.3,40.0,42.7,41.29,1.21,"1,184,720.00","405,587.37",0.0,1.26,1.88,1.28,-0.19,-0.19
219,DGC,5.0,189.9,188.1,182.0,189.9,187.2,3.1,"2,773,800.00","975,143.82",0.0,0.29,-0.16,0.83,-0.19,-0.19
220,FRT,5.0,130.0,128.7,119.9,130.0,125.54,4.75,"1,228,880.00","609,737.84",0.0,0.19,2.39,1.58,-0.2,-0.2
221,SSH,5.0,101.4,100.4,100.4,103.4,101.46,1.21,"441,526.00","61,518.54",0.0,-1.46,-0.4,-0.02,-0.2,-0.2
222,MSB,5.0,25.6,25.35,25.0,25.6,25.3,0.23,"3,985,860.00","1,642,598.42",0.0,-0.1,0.46,0.2,-0.2,-0.2
223,LSS,5.0,15.35,15.2,15.2,15.6,15.44,0.16,"1,567,540.00","694,440.77",0.0,-1.13,-0.86,-0.49,-0.2,-0.2
224,CLX,5.0,27.2,26.9,26.9,27.2,27.0,0.12,"190,241.20","35,190.13",0.0,0.0,-0.12,-0.09,-0.22,-0.22
225,LTG,5.0,43.2,42.7,42.0,43.2,42.42,0.52,"1,253,805.20","320,630.27",0.0,0.59,0.55,0.41,-0.23,-0.23
226,PVD,5.0,37.55,37.1,37.1,39.95,38.22,1.15,"14,191,060.00","4,306,514.41",0.0,-2.22,-2.44,-0.4,-0.24,-0.24
227,C69,5.0,16.3,16.1,15.8,16.5,16.14,0.27,"444,757.00","137,609.38",0.0,-1.22,0.21,0.47,-0.25,-0.25
228,IBC,5.0,20.25,20.0,20.0,20.25,20.05,0.11,"307,440.00","378,773.45",0.0,0.0,0.0,0.0,-0.25,-0.25
229,LPT,5.0,15.8,15.6,15.4,16.4,15.76,0.38,"228,522.00","83,031.94",0.0,-2.47,0.0,0.32,-0.25,-0.25
230,VCB,5.0,84.9,83.8,81.5,84.9,83.34,1.24,"1,458,920.00","842,784.94",0.0,0.18,0.32,0.7,-0.26,-0.26
231,SCR,5.0,21.95,21.65,20.55,21.95,21.4,0.53,"9,371,080.00","3,094,409.73",0.0,0.23,0.54,1.31,-0.27,-0.27
232,IVS,5.0,14.9,14.7,14.7,15.0,14.86,0.11,"125,461.80","52,799.36",0.0,-1.01,-0.23,-0.34,-0.27,-0.27
233,THD,5.0,173.5,171.1,171.1,173.5,171.88,0.99,"408,260.40","25,100.19",0.0,-0.29,-0.08,-0.01,-0.28,-0.28
234,MPC,5.0,43.1,42.5,41.2,43.1,42.18,0.77,"209,684.00","151,741.92",0.0,0.0,1.04,0.54,-0.28,-0.28
235,AAA,5.0,18.05,17.8,17.55,18.05,17.76,0.19,"5,698,140.00","1,951,989.60",0.0,0.28,0.47,0.14,-0.28,-0.28
236,HHV,5.0,23.65,23.3,23.15,23.65,23.31,0.2,"4,009,940.00","880,603.50",0.0,0.22,0.22,0.05,-0.3,-0.3
237,SMT,5.0,25.9,25.5,25.5,28.2,26.66,1.42,"266,885.80","83,276.98",0.0,0.0,-3.3,-2.48,-0.31,-0.31
238,AMV,5.0,12.9,12.7,12.7,13.3,13.02,0.24,"2,047,206.40","950,563.24",0.0,-1.91,-0.78,-1.15,-0.31,-0.31
239,C32,5.0,32.3,31.8,31.1,32.3,31.56,0.51,"252,420.00","139,804.91",0.0,0.48,0.74,0.56,-0.31,-0.31
240,VIP,5.0,13.0,12.8,12.1,13.0,12.73,0.36,"1,766,980.00","257,901.94",0.0,-0.19,-0.26,1.42,-0.31,-0.31
241,VHM,5.0,76.2,75.0,74.0,76.2,75.0,0.81,"5,689,680.00","1,923,298.96",0.0,-0.13,0.45,0.13,-0.32,-0.32
242,ACB,5.0,33.25,32.7,32.6,33.25,32.83,0.26,"4,200,600.00","1,973,759.72",0.0,-0.3,0.0,0.08,-0.33,-0.33
243,DL1,5.0,12.2,12.0,11.5,12.2,11.86,0.26,"1,635,972.40","358,390.79",0.0,0.84,1.43,0.42,-0.33,-0.33
244,HVH,5.0,11.4,11.2,10.85,11.4,11.1,0.23,"442,940.00","307,175.78",0.0,1.37,1.06,0.11,-0.35,-0.35
245,FUEVFVND,5.0,28.5,28.0,28.0,28.5,28.3,0.22,"3,424,840.00","5,139,350.53",0.0,-0.79,-0.47,-0.13,-0.35,-0.35
246,FUESSVFL,5.0,22.39,22.0,21.95,22.39,22.06,0.19,"115,480.00","107,314.50",0.0,0.05,0.08,0.02,-0.35,-0.35
247,DGT,5.0,33.8,33.2,33.2,33.8,33.4,0.28,"156,460.00","28,188.44",0.0,-0.6,0.0,0.0,-0.36,-0.36
248,TNA,5.0,16.65,16.35,16.35,16.8,16.57,0.18,"352,340.00","120,194.02",0.0,-1.35,-0.2,-0.38,-0.36,-0.36
249,HHS,5.0,11.25,11.05,11.05,11.3,11.2,0.09,"7,022,760.00","3,187,320.99",0.0,-0.67,-0.45,-0.56,-0.36,-0.36
250,HCD,5.0,14.0,13.75,13.5,14.0,13.7,0.2,"886,380.00","205,738.95",0.0,0.92,0.49,0.09,-0.36,-0.36
251,CKG,5.0,30.15,29.6,28.35,30.15,29.18,0.7,"1,044,260.00","335,979.56",0.0,1.38,1.45,0.51,-0.37,-0.37
252,VPI,5.0,64.1,62.9,62.9,64.1,63.56,0.45,"1,327,700.00","156,108.42",0.0,-0.55,-0.47,-0.2,-0.38,-0.38
253,MIG,5.0,24.15,23.7,23.4,24.15,23.8,0.28,"365,800.00","52,559.30",0.0,-0.52,-0.14,0.32,-0.38,-0.38
254,CRC,5.0,10.7,10.5,10.5,10.7,10.59,0.1,"293,320.00","137,224.37",0.0,-0.24,0.0,-0.47,-0.38,-0.38
255,DVN,5.0,26.1,25.6,25.6,26.6,26.22,0.41,"680,924.80","373,420.97",0.0,-1.9,-0.77,-0.95,-0.39,-0.39
256,FUEMAV30,5.0,17.7,17.36,17.36,17.7,17.53,0.12,"102,020.00","187,714.07",0.0,-0.63,-0.32,-0.2,-0.39,-0.39
257,DPR,5.0,77.6,76.1,76.1,80.0,78.64,1.73,"579,780.00","368,583.57",0.0,-2.16,-1.65,-1.24,-0.39,-0.39
258,CTF,5.0,22.45,22.0,22.0,22.5,22.19,0.26,"541,560.00","15,449.69",0.0,0.0,0.0,-0.56,-0.4,-0.4
259,NAB,5.0,20.0,19.6,19.6,20.0,19.76,0.15,"212,456.00","47,055.35",0.0,-0.51,-0.17,-0.13,-0.4,-0.4
260,G36,5.0,20.0,19.6,19.4,20.0,19.72,0.23,"1,638,544.60","526,832.11",0.0,-0.51,0.34,-0.25,-0.4,-0.4
261,PSW,5.0,24.3,23.8,23.8,25.8,24.54,0.76,"389,320.40","131,501.21",0.0,-1.64,-2.65,-0.42,-0.41,-0.41
262,PDR,5.0,89.5,87.7,87.1,89.5,88.08,0.88,"3,284,240.00","170,587.96",0.0,-0.23,-0.11,0.17,-0.41,-0.41
263,VPG,5.0,62.5,61.2,61.2,62.5,61.56,0.54,"788,080.00","370,076.69",0.0,-0.16,-0.16,0.0,-0.42,-0.42
264,PLP,5.0,16.55,16.2,16.2,16.8,16.62,0.26,"1,130,600.00","426,491.04",0.0,-1.66,-1.2,-0.91,-0.43,-0.43
265,LMH,5.0,9.2,9.0,8.9,9.2,9.02,0.11,"1,180,487.40","720,131.59",0.0,0.0,0.37,0.0,-0.44,-0.44
266,REE,5.0,73.8,72.2,71.1,73.8,72.26,1.01,"728,460.00","310,928.36",0.0,0.35,0.51,-0.1,-0.44,-0.44
267,CMX,5.0,20.2,19.75,18.75,20.2,19.58,0.61,"1,916,120.00","282,281.02",0.0,-0.75,1.75,0.77,-0.45,-0.45
268,DCL,5.0,37.0,36.15,36.15,38.0,37.02,0.75,"118,520.00","64,465.51",0.0,-1.82,-1.65,-0.21,-0.46,-0.46
269,TDT,5.0,13.2,12.9,12.7,13.2,12.88,0.19,"297,850.80","116,282.65",0.0,0.39,0.52,0.19,-0.46,-0.46
270,MBB,5.0,32.2,31.45,30.75,32.2,31.29,0.57,"18,355,420.00","6,686,236.50",0.0,0.64,0.75,0.36,-0.47,-0.47
271,ADG,5.0,51.8,50.6,50.6,52.2,51.64,0.61,"190,660.00","37,071.32",0.0,-1.54,-0.71,-0.63,-0.47,-0.47
272,E1VFVN30,5.0,25.6,24.99,24.99,25.6,25.21,0.25,"1,664,040.00","1,366,059.71",0.0,-0.32,-0.01,-0.31,-0.48,-0.48
273,GIL,5.0,82.8,80.8,75.9,82.8,79.54,2.91,"660,800.00","277,593.98",0.0,-0.19,2.11,1.18,-0.49,-0.49
274,KSQ,5.0,8.1,7.9,7.6,8.1,7.88,0.23,"800,780.20","297,634.95",0.0,-1.24,0.86,0.97,-0.5,-0.5
275,DBT,5.0,15.75,15.35,15.35,15.75,15.51,0.16,"120,780.00","73,705.71",0.0,-0.65,-0.32,-0.08,-0.51,-0.51
276,HAP,5.0,13.7,13.35,13.3,13.7,13.42,0.16,"670,640.00","206,925.50",0.0,0.0,-0.12,0.09,-0.52,-0.52
277,ORS,5.0,26.3,25.6,25.6,26.3,25.96,0.25,"1,123,980.00","401,728.11",0.0,-0.77,-0.39,-0.39,-0.54,-0.54
278,VIB,5.0,44.9,43.7,43.7,44.9,44.42,0.44,"1,551,580.00","528,001.59",0.0,-0.79,-0.6,-0.51,-0.54,-0.54
279,HHP,5.0,13.0,12.65,12.65,13.0,12.83,0.15,"326,340.00","118,814.01",0.0,-0.97,-0.65,-0.1,-0.54,-0.54
280,VC3,5.0,54.4,52.9,52.9,54.4,53.64,0.7,"209,008.00","136,380.72",0.0,-1.3,-0.06,-0.33,-0.56,-0.56
281,TTZ,5.0,7.2,7.0,6.9,7.2,7.04,0.11,"241,995.80","147,946.53",0.0,0.0,0.48,-0.35,-0.56,-0.56
282,PVG,5.0,18.0,17.5,17.5,19.2,18.14,0.72,"1,638,468.00","520,138.78",0.0,-2.74,-3.04,0.0,-0.56,-0.56
283,VIX,5.0,23.05,22.4,22.4,23.05,22.8,0.24,"3,746,560.00","991,895.66",0.0,-1.1,-0.66,-0.44,-0.57,-0.57
284,VOS,5.0,22.6,21.95,21.05,22.6,22.02,0.62,"4,968,360.00","2,952,153.11",0.0,-0.11,-0.82,1.05,-0.58,-0.58
285,D2D,5.0,61.8,60.0,60.0,61.8,60.8,0.7,"157,720.00","66,809.93",0.0,-0.74,-0.17,-0.41,-0.59,-0.59
286,NAF,5.0,22.45,21.8,21.8,22.45,22.16,0.26,"246,820.00","33,108.11",0.0,-1.13,-0.3,-0.51,-0.59,-0.59
287,ABS,5.0,26.8,26.0,25.85,26.8,26.27,0.44,"1,883,940.00","576,540.20",0.0,0.29,-0.88,0.0,-0.6,-0.6
288,ABB,5.0,16.5,16.0,16.0,16.5,16.26,0.18,"1,486,521.00","428,416.44",0.0,-0.92,-0.41,-0.46,-0.61,-0.61
289,BVB,5.0,20.0,19.4,19.4,20.0,19.68,0.27,"2,144,490.40","1,073,807.73",0.0,-1.02,0.0,-0.51,-0.61,-0.61
290,SGT,5.0,30.1,29.2,29.2,30.1,29.65,0.32,"129,800.00","79,338.77",0.0,-0.85,-0.45,-0.38,-0.61,-0.61
291,VNB,5.0,20.0,19.4,19.3,20.0,19.6,0.27,"212,236.20","69,988.28",0.0,-0.76,0.17,-0.26,-0.61,-0.61
292,CCL,5.0,16.4,15.9,15.9,16.4,16.23,0.2,"745,820.00","189,646.45",0.0,-1.54,-0.72,-0.47,-0.62,-0.62
293,HBS,5.0,13.1,12.7,12.6,13.1,12.8,0.19,"132,636.00","51,515.25",0.0,-0.39,0.26,-0.2,-0.62,-0.62
294,S99,5.0,19.6,19.0,19.0,19.6,19.24,0.25,"425,257.20","86,457.98",0.0,-0.78,0.0,-0.39,-0.62,-0.62
295,SFG,5.0,23.0,22.3,22.0,23.0,22.63,0.45,"263,540.00","203,175.28",0.0,0.68,-0.95,-0.66,-0.62,-0.62
296,TLD,5.0,11.3,10.95,10.9,11.3,11.03,0.16,"559,980.00","66,940.51",0.0,0.0,0.15,-0.23,-0.63,-0.63
297,TVS,5.0,48.4,46.9,46.9,48.4,47.7,0.6,"190,980.00","62,551.23",0.0,-1.15,-0.28,-0.53,-0.63,-0.63
298,KMR,5.0,8.92,8.64,8.39,8.92,8.68,0.2,"400,680.00","112,050.40",0.0,-1.03,0.98,0.0,-0.64,-0.64
299,TDM,5.0,38.0,36.8,36.8,38.0,37.49,0.51,"794,180.00","368,623.71",0.0,-0.74,-0.45,-0.8,-0.64,-0.64
300,DS3,5.0,9.5,9.2,9.2,10.2,9.7,0.47,"290,993.60","195,331.74",0.0,-1.07,-3.38,-2.55,-0.64,-0.64
301,SMC,5.0,43.0,41.65,41.0,43.0,41.95,0.73,"355,640.00","77,021.96",0.0,-0.54,-0.28,0.39,-0.64,-0.64
302,NTP,5.0,62.1,60.1,60.1,62.1,61.36,0.75,"161,134.00","95,192.71",0.0,-1.14,-0.76,-0.61,-0.65,-0.65
303,VRE,5.0,32.9,31.85,31.6,32.9,32.17,0.52,"8,008,280.00","4,349,465.69",0.0,-0.23,0.26,-0.5,-0.65,-0.65
304,BMC,5.0,31.0,30.0,30.0,31.5,30.82,0.58,"346,500.00","127,433.49",0.0,-2.41,-1.19,-0.41,-0.65,-0.65
305,BVH,5.0,58.9,57.0,56.4,58.9,57.62,1.02,"932,780.00","491,639.47",0.0,-0.35,0.35,-0.6,-0.65,-0.65
306,NLG,5.0,54.9,53.1,53.1,54.9,53.88,0.69,"5,579,000.00","2,335,094.84",0.0,-1.02,-0.37,-0.19,-0.66,-0.66
307,PNJ,5.0,108.0,104.5,104.5,110.5,107.46,2.3,"1,838,600.00","846,831.13",0.0,-1.77,-1.84,-0.36,-0.66,-0.66
308,NAG,5.0,15.3,14.8,14.8,15.3,15.16,0.22,"151,544.20","35,494.27",0.0,-1.0,-1.1,-0.83,-0.66,-0.66
309,IJC,5.0,30.0,29.0,29.0,30.0,29.22,0.44,"2,144,140.00","583,576.81",0.0,0.0,0.0,-0.09,-0.68,-0.68
310,DXG,5.0,42.0,40.6,38.85,42.0,40.31,1.14,"11,096,680.00","3,201,771.48",0.0,0.62,1.48,0.37,-0.68,-0.68
311,HMC,5.0,28.45,27.5,27.5,28.45,27.9,0.36,"144,560.00","58,555.77",0.0,-0.45,-0.36,-0.45,-0.68,-0.68
312,PHC,5.0,14.65,14.15,14.15,14.65,14.37,0.2,"517,460.00","131,541.98",0.0,-1.04,-0.12,-0.44,-0.69,-0.69
313,DTD,5.0,44.0,42.5,42.5,44.0,43.26,0.59,"189,862.20","46,016.90",0.0,-0.7,-0.39,-0.69,-0.69,-0.69
314,DLG,5.0,7.77,7.5,7.41,7.77,7.54,0.14,"7,180,980.00","2,602,941.35",0.0,0.2,0.4,-0.1,-0.7,-0.7
315,QNS,5.0,49.5,47.8,47.4,49.5,48.26,0.82,"709,348.40","259,986.15",0.0,0.42,-0.14,-0.41,-0.7,-0.7
316,VPB,5.0,37.7,36.4,36.4,37.7,36.94,0.48,"14,221,220.00","3,594,497.38",0.0,-0.48,-0.41,-0.41,-0.7,-0.7
317,EVE,5.0,17.4,16.8,16.8,17.4,17.0,0.24,"146,980.00","79,816.68",0.0,-0.59,-0.1,-0.22,-0.7,-0.7
318,HAX,5.0,35.5,34.25,33.6,35.95,34.86,0.95,"1,208,160.00","314,177.93",0.0,-1.08,-1.6,0.48,-0.71,-0.71
319,HID,5.0,11.4,11.0,10.85,11.4,11.06,0.22,"1,155,540.00","224,490.07",0.0,-0.67,0.46,0.23,-0.71,-0.71
320,LCG,5.0,19.9,19.2,19.2,19.9,19.41,0.3,"5,140,220.00","1,202,276.21",0.0,-0.13,0.0,-0.39,-0.71,-0.71
